id,sem1_book_every_mon1,sem1_book_every_mon9,sem1_book_every_mon10,sem1_book_every_mon11,sem1_book_every_mon12,sem1_book_every_type1,sem1_book_every_type2,sem1_book_every_type3,sem1_book_every_type4,sem1_book_every_type5,sem1_book_every_type6,sem1_book_every_type7,sem1_book_every_type8,sem1_book_every_type9,sem1_book_every_type10,sem1_book_every_type11,sem1_book_every_type12,sem1_book_every_type13,sem1_book_every_type14,sem1_book_every_type15,sem1_book_every_type16,sem1_book_every_type17,sem1_book_every_type18,sem1_book_every_type19,sem1_book_every_type20,sem1_book_every_type21,sem1_book_every_type22,sem1_book_every_type23,sem1_book_every_type24,sem1_book_every_type25,sem1_book_every_type26,sem1_book_every_type27,sem1_book_every_type28,sem1_book_every_type29,sem1_book_every_type30,sem1_book_every_type31,sem1_book_every_type32,sem1_book_every_type33,sem1_book_every_type34,sem1_book_every_type35,sem1_book_every_type36,sem1_book_every_type37,sem1_book_every_type38,sem1_book_every_type39,sem1_book_every_type40,sem1_book_every_type41,sem1_book_every_type42,sem1_library_every_mon1,sem1_library_every_mon9,sem1_library_every_mon10,sem1_library_every_mon11,sem1_library_every_mon12,sem1_library_every_hour7,sem1_library_every_hour8,sem1_library_every_hour9,sem1_library_every_hour10,sem1_library_every_hour11,sem1_library_every_hour12,sem1_library_every_hour13,sem1_library_every_hour14,sem1_library_every_hour15,sem1_library_every_hour16,sem1_library_every_hour17,sem1_library_every_hour18,sem1_library_every_hour19,sem1_library_every_hour20,sem1_library_every_hour21,sem1_library_every_hour22,sem1_consume_every_pos_shitang,sem1_consume_every_pos_jiaotong,sem1_consume_every_pos_chaoshi,sem1_consume_every_pos_sushe,sem1_consume_every_pos_jiaoshi,sem1_consume_every_pos_tushuguan,sem1_consume_every_pos_dayin,sem1_consume_every_mon1,sem1_consume_every_mon9,sem1_consume_every_mon10,sem1_consume_every_mon11,sem1_consume_every_mon12,sem1_consume_every_hour0,sem1_consume_every_hour1,sem1_consume_every_hour2,sem1_consume_every_hour3,sem1_consume_every_hour4,sem1_consume_every_hour5,sem1_consume_every_hour6,sem1_consume_every_hour7,sem1_consume_every_hour8,sem1_consume_every_hour9,sem1_consume_every_hour10,sem1_consume_every_hour11,sem1_consume_every_hour12,sem1_consume_every_hour13,sem1_consume_every_hour14,sem1_consume_every_hour15,sem1_consume_every_hour16,sem1_consume_every_hour17,sem1_consume_every_hour18,sem1_consume_every_hour19,sem1_consume_every_hour20,sem1_consume_every_hour21,sem1_consume_every_hour22,sem1_consume_every_hour23,sem2_book_every_mon2,sem2_book_every_mon3,sem2_book_every_mon4,sem2_book_every_mon5,sem2_book_every_mon6,sem2_book_every_mon7,sem2_book_every_type1,sem2_book_every_type2,sem2_book_every_type3,sem2_book_every_type4,sem2_book_every_type5,sem2_book_every_type6,sem2_book_every_type7,sem2_book_every_type8,sem2_book_every_type9,sem2_book_every_type10,sem2_book_every_type11,sem2_book_every_type12,sem2_book_every_type13,sem2_book_every_type14,sem2_book_every_type15,sem2_book_every_type16,sem2_book_every_type17,sem2_book_every_type18,sem2_book_every_type19,sem2_book_every_type20,sem2_book_every_type21,sem2_book_every_type22,sem2_book_every_type23,sem2_book_every_type24,sem2_book_every_type25,sem2_book_every_type26,sem2_book_every_type27,sem2_book_every_type28,sem2_book_every_type29,sem2_book_every_type30,sem2_book_every_type31,sem2_book_every_type32,sem2_book_every_type33,sem2_book_every_type34,sem2_book_every_type35,sem2_book_every_type36,sem2_book_every_type37,sem2_book_every_type38,sem2_book_every_type39,sem2_book_every_type40,sem2_book_every_type41,sem2_book_every_type42,sem2_library_every_mon2,sem2_library_every_mon3,sem2_library_every_mon4,sem2_library_every_mon5,sem2_library_every_mon6,sem2_library_every_mon7,sem2_library_every_hour7,sem2_library_every_hour8,sem2_library_every_hour9,sem2_library_every_hour10,sem2_library_every_hour11,sem2_library_every_hour12,sem2_library_every_hour13,sem2_library_every_hour14,sem2_library_every_hour15,sem2_library_every_hour16,sem2_library_every_hour17,sem2_library_every_hour18,sem2_library_every_hour19,sem2_library_every_hour20,sem2_library_every_hour21,sem2_library_every_hour22,sem2_consume_every_pos_shitang,sem2_consume_every_pos_jiaotong,sem2_consume_every_pos_chaoshi,sem2_consume_every_pos_sushe,sem2_consume_every_pos_jiaoshi,sem2_consume_every_pos_tushuguan,sem2_consume_every_pos_dayin,sem2_consume_every_mon2,sem2_consume_every_mon3,sem2_consume_every_mon4,sem2_consume_every_mon5,sem2_consume_every_mon6,sem2_consume_every_mon7,sem2_consume_every_hour0,sem2_consume_every_hour1,sem2_consume_every_hour2,sem2_consume_every_hour3,sem2_consume_every_hour4,sem2_consume_every_hour5,sem2_consume_every_hour6,sem2_consume_every_hour7,sem2_consume_every_hour8,sem2_consume_every_hour9,sem2_consume_every_hour10,sem2_consume_every_hour11,sem2_consume_every_hour12,sem2_consume_every_hour13,sem2_consume_every_hour14,sem2_consume_every_hour15,sem2_consume_every_hour16,sem2_consume_every_hour17,sem2_consume_every_hour18,sem2_consume_every_hour19,sem2_consume_every_hour20,sem2_consume_every_hour21,sem2_consume_every_hour22,sem2_consume_every_hour23,sem3_book_every_mon1,sem3_book_every_mon9,sem3_book_every_mon10,sem3_book_every_mon11,sem3_book_every_mon12,sem3_book_every_type1,sem3_book_every_type2,sem3_book_every_type3,sem3_book_every_type4,sem3_book_every_type5,sem3_book_every_type6,sem3_book_every_type7,sem3_book_every_type8,sem3_book_every_type9,sem3_book_every_type10,sem3_book_every_type11,sem3_book_every_type12,sem3_book_every_type13,sem3_book_every_type14,sem3_book_every_type15,sem3_book_every_type16,sem3_book_every_type17,sem3_book_every_type18,sem3_book_every_type19,sem3_book_every_type20,sem3_book_every_type21,sem3_book_every_type22,sem3_book_every_type23,sem3_book_every_type24,sem3_book_every_type25,sem3_book_every_type26,sem3_book_every_type27,sem3_book_every_type28,sem3_book_every_type29,sem3_book_every_type30,sem3_book_every_type31,sem3_book_every_type32,sem3_book_every_type33,sem3_book_every_type34,sem3_book_every_type35,sem3_book_every_type36,sem3_book_every_type37,sem3_book_every_type38,sem3_book_every_type39,sem3_book_every_type40,sem3_book_every_type41,sem3_book_every_type42,sem3_library_every_mon1,sem3_library_every_mon9,sem3_library_every_mon10,sem3_library_every_mon11,sem3_library_every_mon12,sem3_library_every_hour7,sem3_library_every_hour8,sem3_library_every_hour9,sem3_library_every_hour10,sem3_library_every_hour11,sem3_library_every_hour12,sem3_library_every_hour13,sem3_library_every_hour14,sem3_library_every_hour15,sem3_library_every_hour16,sem3_library_every_hour17,sem3_library_every_hour18,sem3_library_every_hour19,sem3_library_every_hour20,sem3_library_every_hour21,sem3_library_every_hour22,sem3_consume_every_pos_shitang,sem3_consume_every_pos_jiaotong,sem3_consume_every_pos_chaoshi,sem3_consume_every_pos_sushe,sem3_consume_every_pos_jiaoshi,sem3_consume_every_pos_tushuguan,sem3_consume_every_pos_dayin,sem3_consume_every_mon1,sem3_consume_every_mon9,sem3_consume_every_mon10,sem3_consume_every_mon11,sem3_consume_every_mon12,sem3_consume_every_hour0,sem3_consume_every_hour1,sem3_consume_every_hour2,sem3_consume_every_hour3,sem3_consume_every_hour4,sem3_consume_every_hour5,sem3_consume_every_hour6,sem3_consume_every_hour7,sem3_consume_every_hour8,sem3_consume_every_hour9,sem3_consume_every_hour10,sem3_consume_every_hour11,sem3_consume_every_hour12,sem3_consume_every_hour13,sem3_consume_every_hour14,sem3_consume_every_hour15,sem3_consume_every_hour16,sem3_consume_every_hour17,sem3_consume_every_hour18,sem3_consume_every_hour19,sem3_consume_every_hour20,sem3_consume_every_hour21,sem3_consume_every_hour22,sem3_consume_every_hour23,sem1_rank,sem2_rank,sem3_rank
146,8,14,4,4,6,19,1,6,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,9,20,14,0,14,8,4,1,12,1,3,3,2,0,8,6,2,1,0,1020.11,25,249.9,57.6,0.04,50.8,0.3,168.16,329.91,231.68,409.81,264.19,0.25,0,0.12,0,0,0,24.81,136.58,78.37,66.89,13.23,277.9,235.74,4.71,2.88,41.14,23.85,262.1,161.19,41.22,4.66,5.49,20.15,2.47,4,0,2,0,0,3,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,4,1,6,15,1,2,5,1,2,9,0,3,4,0,3,6,3,2,1,0,1138.4,4,85,127.52,0.51,14.4,0,81,267.44,271.72,300.71,311.21,137.75,2.62,0.06,0,0,0,0,0,167.77,68.98,19.12,21.11,278.47,248.36,11.36,12.02,15.92,8.09,234.57,201.03,24.6,14.11,13.08,21.47,7.09,6,3,3,0,4,5,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,5,8,19,0,10,6,4,0,13,7,1,1,5,4,14,2,2,1,0,1235.93,2,58.9,181.46,0.27,14.62,9.9,223.43,308.13,288.02,343.16,340.34,0.93,0,0,0,0,0,0,114.85,106.83,19.22,26.34,173.4,392.87,44.09,15.15,7.06,37.48,202.1,264.29,13.4,12.2,19.75,41.75,11.37,167,172,204
147,12,5,11,5,12,8,7,0,0,0,0,1,0,0,0,9,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,12,9,21,1,14,9,3,4,2,2,4,7,4,5,9,4,3,4,0,68.8,0,34.7,4.85,0.09,0,0,0,0,0,0,108.44,0,0,0,0,0,0,0,4.3,13.94,0,2.54,10.6,9,12.9,0,0,9.75,6.8,17.61,0.03,18.8,0.34,1.62,0.21,0,1,0,6,2,1,0,3,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,9,15,13,0,12,11,0,1,0,2,3,7,1,2,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,18,22,6,5,7,11,0,2,4,0,0,0,4,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,4,19,23,3,11,3,3,4,5,1,10,8,4,9,17,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,325,288
148,0,4,5,2,0,0,1,3,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,2,0,3,2,4,0,2,0,1,0,3,1,1,1,1,0,0,397.23,4,167.1,30.19,0.01,3.4,6.55,229.87,0,0,79.92,298.69,0.01,0,0,0,0,0,0,26.04,32.62,29.49,19.8,136.5,94.2,26.51,0.01,4.82,2.41,55,67.18,3.5,0,16.02,92.57,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,17,5,1,3,2,2,0,3,0,5,2,1,1,4,10,0,0,0,1688.94,3,243.5,74.78,0.08,21.3,20.6,65.8,394.96,454.63,479.23,448.35,209.23,6.68,3.9,1.2,0,0,0.01,6.52,160.89,78.71,29.34,47.76,614.61,257,16.6,2.51,12.7,33.25,471.41,209.42,19.61,9.01,12.7,49.64,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,1363.11,26,268.6,10.09,0.13,5.5,25.3,197.43,306.33,276.34,464.43,454.2,0,0,0,0,0,0,2.43,14.2,46.41,52.9,14.2,518.33,254.06,24.26,16.54,12.51,5.27,401.06,219.36,27,6,46.2,38,0,411,425,526
149,11,7,6,14,0,7,6,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,9,14,17,2,13,4,5,5,2,3,2,6,3,2,4,8,2,1,0,54.73,0,5,1.43,0.02,0,3.6,0,0,0,0,64.78,0,0,0,0,0,0,0,2.54,0,0,0.01,21.8,10.6,0,3.61,0,0.7,12.11,4.5,0.7,8.2,0,0.01,0,3,3,4,6,5,3,2,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,9,10,24,15,6,17,0,2,2,7,3,5,2,4,4,13,13,3,0,0,132.02,0,17.6,4.49,0.02,16.3,0,0,0,0,126.43,0,44,0.07,0,0,0,0,0,0,18.72,6.3,0,3.4,26.5,9.9,1.39,12.36,0.9,15.12,17.4,44.3,3.8,0,0,10.2,0.07,0,7,3,5,2,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,7,28,48,6,13,6,1,10,6,11,10,4,4,10,23,11,1,2,0,12.7,0,14.68,1.21,0,10.6,0,0,0,0,39.19,0,0,0,0,0,0,0,0,2.9,0,5,0,0,4.81,0,0,0,0,0,7.8,0,2.8,14.68,1.2,0,232,295,80
150,8,25,5,12,14,22,7,15,1,0,9,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,12,14,28,0,9,11,8,7,10,1,0,6,4,7,13,6,4,4,0,1063.9,4,180,99.4,0.01,10,0.8,181.91,339.25,226.61,324.13,286.21,5.52,0.02,0,0,0,0,4.61,111.26,35.19,29.5,29.79,269.09,191.72,29.71,0,36.43,27.21,291.98,183.65,12.03,9.52,38.66,35.61,16.61,2,17,10,4,8,4,8,15,16,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,10,5,3,0,3,4,6,2,4,0,2,1,1,1,6,3,3,1,0,1299.91,0,183.1,198.8,0.01,9.6,0,69.95,330.88,309.69,439.03,340.85,201.02,34.37,0.01,0,0,0,0,2.4,150.05,30.6,39.97,3.61,305.62,255.85,9.7,0,38.7,29.79,401.19,175.01,35.02,27.1,13.2,80.81,58.42,7,8,10,9,13,0,9,5,0,2,12,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,4,15,27,3,22,4,1,0,4,2,3,10,3,13,15,9,2,0,0,1398.1,8,124.2,150.02,0.16,0,0,285.9,343.78,307.2,321.02,422.58,12.99,0,0,0,0,0,43.69,48.23,126.88,28.34,22.89,231.7,356.23,23.1,9.81,19.71,38.73,388.94,234.95,6.9,26.11,5.02,21.93,34.33,35,21,15
151,0,11,0,0,0,0,0,2,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,20,11,8,5,9,2,12,1,10,5,2,1,7,2,11,8,1,2,0,46,0,12.4,0.73,0.03,12.42,0,0,0,0,14.38,57.2,0,0,0,0,0,0,0,5.8,0.7,0,0,12.42,20.8,0.21,0.14,4.51,5.34,7,14.4,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,2,3,2,1,0,1,2,1,1,0,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,12,1,7,9,1,1,0,4,1,4,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,131
152,4,11,0,12,0,19,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,8,9,6,2,8,2,3,0,3,2,3,2,3,4,10,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,12,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,2,5,0,0,0,1,1,2,1,1,0,2,2,1,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,3,12,28,0,9,6,4,6,9,3,4,1,3,9,19,4,0,2,0,1324.67,0,329.6,47,0.38,21.9,12.5,380.52,0,223.23,524.63,607.67,1.7,0,0,0,0,0,0,38.2,94.77,45.64,55,269.58,257.84,33.13,9.51,17.41,63.72,405.74,165.62,17.61,19.42,53.8,178.56,8.8,99,181,46
153,4,6,7,9,5,6,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,3,2,1,1,3,2,2,0,0,1,3,3,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,0,8,2,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,3,1,0,1,0,0,0,2,0,8,0,0,0,2,3,0,1,0,24.4,0,0,2.6,0.01,0,0,0,0,0,0,0,27.01,0,0,0,0,0,0,0,0,1.2,0,0,1.4,0,0,0,0,0,24.4,0,0.01,0,0,0,0,4,6,7,0,0,7,0,4,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,2,0,1,2,1,0,0,0,1,0,1,0,1,3,0,0,0,470.66,0,98.2,20.02,0,0,0,238.58,0,0,0,350.3,0,0,0,0,0,0,0,4.6,5.5,3.1,33.1,151.78,26.3,0,0,3.56,101.76,240.08,15.6,0,0,3.5,0,0,42,27,57
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356.36,5,1011.1,13.26,0.03,0,0,324.98,331.78,450.55,522.63,755.81,0,0,0,0,0,0,0,10.8,52.56,7.42,53.43,303.99,373.27,45.93,74.71,122.4,162.07,520.68,377.95,116.69,50.01,94.43,19.41,0,493,528,528
155,0,5,0,7,0,1,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,14,7,6,1,2,2,1,3,6,5,4,4,5,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,5,2,4,2,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,28,10,1,5,6,3,3,3,2,0,7,5,1,6,4,4,0,0,26.8,0,0,6.26,0.03,0,0,0,0,33.09,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,2.2,11.61,3.7,0,0,0,4.4,7.2,0.03,0,0,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,1,0,0,2,0,0,0,0,3,1,2,0,4,3,0,0,0,52.9,0,25.1,4.74,0.05,0,0,0,0,0,82.79,0,1.54,0,0,0,0,0,0,0,5.5,0.01,1.71,0,22.5,1.5,0.01,0,0,0.02,36,5,0,0,9,0,278,162,151
156,0,3,6,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,0,0,2,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,25,0,1,0,1,0,0,3,2,1,1,2,0,8,13,6,1,0,115.83,1,33,8.04,0.02,3.6,0,0,0,0,61.39,100.1,0,0.9,0,0.6,0,0,0,0,2.25,0.01,3.6,1,9.4,18.9,0,0.01,0.01,4.51,15,39.6,11,15,11,24,4.7,1,0,1,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,6,3,0,2,0,0,0,0,2,2,1,0,1,3,12,4,0,0,40.7,0,35.8,4.2,0.04,0,0,0,0,0,80.74,0,1.4,0,0,0,0,0,0,0,0,0.02,0.02,6.7,23.1,0,0,0,0,10,12,1.7,0,16.7,9.1,0,360,372,328
157,0,3,0,5,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,5,8,0,1,2,7,1,1,1,0,2,4,3,2,2,4,0,0,1027.43,4,677.8,32.03,0,57.3,0.3,203.93,434.28,304.54,381.4,474.71,4.86,0,0,0,0,0,4.2,89.26,62.63,59.92,49.15,171.12,306.71,26.51,9.51,32.1,107.38,203.5,216.02,22.32,133.1,154.92,143.25,2.4,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1519.51,0,852.6,63.63,0.25,2.3,0,69.45,501.6,503.64,590.16,572.65,200.79,2,0.6,0,0.01,0,0,0,139.28,11.14,1.2,71.9,225.92,358.67,25.1,7.72,20.51,1.2,173.9,257.62,163,316.93,298.25,361.92,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.55,0,807.7,76.89,0.06,0,0.6,262.1,480.68,561.73,477.49,385.8,5.21,2,0.84,0,0,0,0,3.54,4.62,8.71,48.1,261,241.49,56.58,12.21,51.82,86.7,265.16,280.21,123,279.77,299.9,125.1,11.84,515,485,506
158,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1,7,0,2,1,2,0,2,2,2,0,0,2,5,3,2,0,0,1624.32,0,581.9,21.72,0,6.2,0,194.49,501.22,474.12,602.32,461.99,0.6,0,0,0,0,0,0,94.59,142.44,45.1,37.81,601.61,147.31,17,4,98,43.91,528.83,222.24,89.21,84.95,34.36,37.66,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,12,7,8,1,0,2,0,0,0,3,3,1,0,0,2,12,21,1,0,0,1319.09,8,516.1,25.73,0.01,20.4,0,66.5,301.2,417.13,484.23,404.86,215.41,1,0,0,0,0,0,0,98.33,91.41,4.7,36.2,539.11,293.7,10.9,0,36.1,54,453.56,191.9,4.8,21.3,35.2,10.82,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,2,0,1,1,1,0,0,0,0,0,3,0,0,0,1584.36,0,679.3,39.88,0.01,0,0,302.45,467.6,517.99,469.38,546.13,0.5,1.1,0,0,0,0,0,8.8,153.53,1.5,8.4,715.14,159.06,17.9,0,10.9,30.41,743.28,293.73,98.3,25.8,31.2,3,1,350,409,437
